details,etat,adresse,prix,image-src
Détails,Neuf,Grand-Dakar Dakar,50 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5c40febc941c0169ee9acfd6c9930777/-/horizon-files-prod/ed/picture/qzv2j2nx/eaf12c3ee0d3d6909c7cb3630c3e650014161d54.png
Détails,Neuf,Grand-Dakar Dakar,10 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/982df7686119217de0a165a32213f094/-/horizon-files-prod/ed/picture/qrzv8deq/50ce807fb94e48a6674416574ac57f4e572e03b6.jpg
Détails,Neuf,Patte d‘oie Dakar,13 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/235b43588bd30dec4b354dfb168914db/-/horizon-files-prod/ed/picture/qx95nx4/77cf369eff95fb52fd779f790b79119180451556.jpg
Détails,Neuf,Parcelles Assainies Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2dc7071a084e79d138c56976ce18ea4b/-/horizon-files-prod/ed/picture/qxjp6w00/b60f9009ae9d66b7b1ac6d1e52c4ddc0af59b443.jpg
Détails,Venant,Patte d‘oie Dakar,5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0873e38b1570dbc1910ed0ee6064d429/-/horizon-files-prod/ed/picture/qvjxkxm/a72390a01a3104a3433ea421ae820d13e1f39edb.jpg
Détails,Neuf,Guediawaye Dakar,3 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cb22d32685c5c9ada57f453187e5e0ba/-/horizon-files-prod/ed/picture/q0g7208z/839a77cc428c5cac950f713987f25c86941f7a1d.jpg
Détails,Neuf,Sicap Liberté Dakar,42 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/580d8b06c5b3e52d1509523b67e6099e/-/horizon-files-prod/ed/picture/qv4www52/66606bef6f0f9cf9361eaa99a8f34bce40dcfbb5.jpg
,Neuf,Guediawaye Dakar,8 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5e2dd174f17f0f8fc69979313cb3cbcf/-/horizon-files-prod/ed/picture/qj4qpe4v/217ff5f7211806686f000034340e26e675ee94cc.jpg
,Neuf,Guediawaye Dakar,5 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a7ad2248682443da1b8a9c4e6781cc8f/-/horizon-files-prod/ed/picture/q9mj5q8w/19935b16f028ea8cfa2866447fcd988fa41b845c.jpg
Détails,Neuf,Sicap Liberté Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0a35073f86118f5fa18be2baecbdae1/-/horizon-files-prod/ed/picture/q9mjr9d5/7c4cb26823f96d429e5afcad848d10a5e3d6ad4c.jpg
Détails,Neuf,Grand-Dakar Dakar,35 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58c513356b40c92f8ef3a585d6e7b33c/-/horizon-files-prod/ed/picture/qxj2gknq/0be70665dbce4840064546022540ff38f926222e.png
,Neuf,Guediawaye Dakar,3 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a02c9a53e7e9d173e6dca36a903039da/-/horizon-files-prod/ed/picture/q6xkwe4g/d2999fc4fb98c30046df72d5b0d66707a9330cda.jpg
Détails,Neuf,Liberte 5 Dakar,35 500 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47ff6c0daf4365cf8c99279e02222438/-/horizon-files-prod/ed/picture/q785zn2d/61f3154ba9c1e0f6527bb1640c4ba76ce3d3a00f.jpg
Détails,Neuf,Ouakam Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f10f728d4d06df0f3fae58398a35849/-/horizon-files-prod/ed/picture/qgq9q858/8680c59a870ee8406296542dc14065c31314de13.jpg
Détails,Neuf,Grand-Dakar Dakar,20 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f539443845d9d2ba511d060bc1e89175/-/horizon-files-prod/ed/picture/qder6850/df6ba2ce050bead1e2366f666eb5c3eeba799fca.png
Détails,Neuf,Grand-Dakar Dakar,25 000 F Cfa,https://i.roamcdn.net/hz/ed/listing-thumb-543w/cc77127bf3f3403b2b010237fed8eca2/-/horizon-files-prod/ed/picture/qjnk5ed/7f4df55ef9547cb2c621ce87f86bec307041e088.png
